sexo;nacionalidad;comuna;provincia;region;carrera;escuela;facultad;campus
Femenino;CHILENA;MAIPU;SANTIAGO;REGION METROPOLITANA;DERECHO;ESCUELA DE DERECHO;VICERRECTORIA ACADEMICA (VRAC);CENTRAL
Femenino;CHILENA;CERRO NAVIA;SANTIAGO;REGION METROPOLITANA;DERECHO;ESCUELA DE DERECHO;VICERRECTORIA ACADEMICA (VRAC);CENTRAL
Masculino;CHILENA;SAN RAMON;SANTIAGO;REGION METROPOLITANA;DERECHO;ESCUELA DE DERECHO;VICERRECTORIA ACADEMICA (VRAC);CENTRAL
Femenino;CHILENA;QUILICURA;SANTIAGO;REGION METROPOLITANA;DERECHO;ESCUELA DE DERECHO;VICERRECTORIA ACADEMICA (VRAC);CENTRAL
Masculino;CHILENA;PEDRO AGUIRRE CERDA;SANTIAGO;REGION METROPOLITANA;DERECHO;ESCUELA DE DERECHO;VICERRECTORIA ACADEMICA (VRAC);CENTRAL
Masculino;CHILENA;ÑUÑOA;SANTIAGO;REGION METROPOLITANA;DERECHO;ESCUELA DE DERECHO;VICERRECTORIA ACADEMICA (VRAC);CENTRAL
Femenino;CHILENA;SAN BERNARDO;MAIPO;REGION METROPOLITANA;DERECHO;ESCUELA DE DERECHO;VICERRECTORIA ACADEMICA (VRAC);CENTRAL
Masculino;CHILENA;CONSTITUCION;TALCA;REGION DEL MAULE;DERECHO;ESCUELA DE DERECHO;VICERRECTORIA ACADEMICA (VRAC);CENTRAL
Masculino;CHILENA;LA FLORIDA;SANTIAGO;REGION METROPOLITANA;DERECHO;ESCUELA DE DERECHO;VICERRECTORIA ACADEMICA (VRAC);CENTRAL
Masculino;CHILENA;COPIAPO;COPIAPO;REGION DE ATACAMA;DERECHO;ESCUELA DE DERECHO;VICERRECTORIA ACADEMICA (VRAC);CENTRAL
Femenino;CHILENA;LA CISTERNA;SANTIAGO;REGION METROPOLITANA;DERECHO;ESCUELA DE DERECHO;VICERRECTORIA ACADEMICA (VRAC);CENTRAL
Masculino;CHILENA;RANCAGUA;CACHAPOAL;REGION DEL LIB. GRAL. BERNARDO OHIGGINS;DERECHO;ESCUELA DE DERECHO;VICERRECTORIA ACADEMICA (VRAC);CENTRAL
Masculino;CHILENA;CURICO;CURICO;REGION DEL MAULE;DERECHO;ESCUELA DE DERECHO;VICERRECTORIA ACADEMICA (VRAC);CENTRAL
Masculino;CHILENA;LA PINTANA;SANTIAGO;REGION METROPOLITANA;DERECHO;ESCUELA DE DERECHO;VICERRECTORIA ACADEMICA (VRAC);CENTRAL
Masculino;CHILENA;LAMPA;CHACABUCO;REGION METROPOLITANA;DERECHO;ESCUELA DE DERECHO;VICERRECTORIA ACADEMICA (VRAC);CENTRAL
Masculino;CHILENA;PUENTE ALTO;CORDILLERA;REGION METROPOLITANA;DERECHO;ESCUELA DE DERECHO;VICERRECTORIA ACADEMICA (VRAC);CENTRAL
Masculino;CHILENA;ISLA DE MAIPO;TALAGANTE;REGION METROPOLITANA;DERECHO;ESCUELA DE DERECHO;VICERRECTORIA ACADEMICA (VRAC);CENTRAL
